File	Title	Slug	Page Type
files/en-us/web/css/@font-face/size-adjust/index.md	size-adjust	Web/CSS/@font-face/size-adjust	css-at-rule-descriptor
files/en-us/web/css/@font-face/src/index.md	src	Web/CSS/@font-face/src	css-at-rule-descriptor
files/en-us/web/css/@font-face/unicode-range/index.md	unicode-range	Web/CSS/@font-face/unicode-range	css-at-rule-descriptor
files/en-us/web/css/@font-feature-values/font-display/index.md	font-display	Web/CSS/@font-feature-values/font-display	css-at-rule-descriptor
files/en-us/web/css/@font-feature-values/index.md	@font-feature-values	Web/CSS/@font-feature-values	css-at-rule
files/en-us/web/css/@font-palette-values/base-palette/index.md	base-palette	Web/CSS/@font-palette-values/base-palette	css-at-rule-descriptor
files/en-us/web/css/@font-palette-values/font-family/index.md	font-family	Web/CSS/@font-palette-values/font-family	css-at-rule-descriptor
files/en-us/web/css/@font-palette-values/index.md	@font-palette-values	Web/CSS/@font-palette-values	css-at-rule
files/en-us/web/css/@font-palette-values/override-colors/index.md	override-colors	Web/CSS/@font-palette-values/override-colors	css-at-rule-descriptor
files/en-us/web/css/@import/index.md	@import	Web/CSS/@import	css-at-rule
files/en-us/web/css/@import/layer_function/index.md	layer()	Web/CSS/@import/layer_function	css-function
files/en-us/web/css/@keyframes/index.md	@keyframes	Web/CSS/@keyframes	css-at-rule
files/en-us/web/css/@layer/index.md	@layer	Web/CSS/@layer	css-at-rule
files/en-us/web/css/@media/-moz-device-pixel-ratio/index.md	-moz-device-pixel-ratio	Web/CSS/@media/-moz-device-pixel-ratio	css-media-feature
files/en-us/web/css/@media/-webkit-animation/index.md	-webkit-animation	Web/CSS/@media/-webkit-animation	css-media-feature
files/en-us/web/css/@media/-webkit-device-pixel-ratio/index.md	-webkit-device-pixel-ratio	Web/CSS/@media/-webkit-device-pixel-ratio	css-media-feature
files/en-us/web/css/@media/-webkit-transform-2d/index.md	-webkit-transform-2d	Web/CSS/@media/-webkit-transform-2d	css-media-feature
files/en-us/web/css/@media/-webkit-transform-3d/index.md	-webkit-transform-3d	Web/CSS/@media/-webkit-transform-3d	css-media-feature
files/en-us/web/css/@media/-webkit-transition/index.md	-webkit-transition	Web/CSS/@media/-webkit-transition	css-media-feature
files/en-us/web/css/@media/any-hover/index.md	any-hover	Web/CSS/@media/any-hover	css-media-feature
files/en-us/web/css/@media/any-pointer/index.md	any-pointer	Web/CSS/@media/any-pointer	css-media-feature
files/en-us/web/css/@media/aspect-ratio/index.md	aspect-ratio	Web/CSS/@media/aspect-ratio	css-media-feature
files/en-us/web/css/@media/aural/index.md	aural	Web/CSS/@media/aural	css-media-feature
files/en-us/web/css/@media/color-gamut/index.md	color-gamut	Web/CSS/@media/color-gamut	css-media-feature
files/en-us/web/css/@media/color-index/index.md	color-index	Web/CSS/@media/color-index	css-media-feature
files/en-us/web/css/@media/color/index.md	color	Web/CSS/@media/color	css-media-feature
files/en-us/web/css/@media/device-aspect-ratio/index.md	device-aspect-ratio	Web/CSS/@media/device-aspect-ratio	css-media-feature
files/en-us/web/css/@media/device-height/index.md	device-height	Web/CSS/@media/device-height	css-media-feature
